city,closure_layoff,company,county,effective_date,industry,notes,number_of_workers,region,state,temporary_permanent,unions,warn_received_date
Findlay,Closure,Michigan Sugar Company,Hancock,1/31/26,None,007-25-85,4,None,Ohio,Permanent,BCTGM Local 19,2025-12-11
Waipahu,Ownership Transfer,5 Minute Pharmacy LLC,None,2/14/26,None,all employees to be offered terms of reemployment,81,None,Hawaii,None,None,2025-12-11
Ringgold,Closure,AeroFarms,None,12/19/25,None,None,173,Western,Virginia,None,None,2025-12-11
64125 19th Avenue Desert Hot Springs CA 92240,Closure Permanent,"G&C Staffing, LLC (Gold Flora)",Riverside County,2/10/26,56 Administrative and Support and Waste Management and Remediation,None,12,None,California,None,None,2025-12-11
130 Baytech Drive San Jose CA 95134,Closure Permanent,"bioMerieux, Inc.",Santa Clara County,4/3/26,42 Wholesale Trade,None,121,None,California,None,None,2025-12-11
1695 S 7th Street San Jose CA 95112,Closure Permanent,"G&C Staffing, LLC (Gold Flora) (1695 S 7th Street)",Santa Clara County,2/10/26,56 Administrative and Support and Waste Management and Remediation,None,36,None,California,None,None,2025-12-11
1190 Coleman Avenue San Jose CA 95110,Closure Permanent,"G&C Staffing, LLC (Gold Flora) (1190 Coleman Avenue)",Santa Clara County,2/10/26,56 Administrative and Support and Waste Management and Remediation,None,6,None,California,None,None,2025-12-11
2811 Orchard Pkwy San Jose CA 95134,Closure Permanent,Zebra Technologies Corporation,Santa Clara County,2/9/26,31-33 Manufacturing,None,75,None,California,None,None,2025-12-11
Orange City,Closing,"Medtec, LLC DBA CQ Medical",Sioux,2/6/26,Manufacturing,None,33,Iowa Plains,Iowa,None,None,2025-12-10
Richardson,None,LeeMAH Electronics. Inc.,Dallas,12/8/25,None,None,84,Dallas County WDA,Texas,None,None,2025-12-10
Irving,None,S&S Activewear,Dallas,12/4/25,None,None,146,Dallas County WDA,Texas,None,None,2025-12-10
Orange City,Closing,"Medtec, LLC DBA CQ Medical",Sioux,2/6/26,Manufacturing,None,33,Iowa Plains,Iowa,None,None,2025-12-10
Portland,None,Charter Communications,None,None,None,"901 Washington Ave Portland, Maine 04103",176,4,Maine,None,None,2025-12-10
2125 Butano Drive Sacramento CA 95825,Layoff Permanent,Wells Fargo,Sacramento County,2/6/26,52 Finance and Insurance,None,114,None,California,None,None,2025-12-10
1802 C Street Sacramento CA 95811,Closure Permanent,Blue Diamond Growers,Sacramento County,9/1/25,31-33 Manufacturing,None,1,None,California,None,None,2025-12-10
3200 E Carson St. Lakewood CA 90712,Closure Permanent,AARP,Los Angeles County,1/9/26,81 Other Services Except Public Administration,None,18,None,California,None,None,2025-12-10
West Des Moines,Amendment - Additional Employees,Wells Fargo,Polk,2/6/26,Finance and Insurance,None,25,Central Iowa,Iowa,None,None,2025-12-09
Portland,Reduction,Wells Fargo,None,2/6/26,None,9408,3,None,Oregon,None,None,2025-12-09
